"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Oasl22",0.00247081734933342,0.267390117652872,0.382,0.172,1,"18","Oasl2"
"Stmn12",0.0024723368248631,0.382134340528535,0.559,0.332,1,"18","Stmn1"
"Marcks7",0.00254138177991864,0.301569424819063,0.588,0.309,1,"18","Marcks"
"Ifi27l2a4",0.00255775441075247,0.507883103946622,0.706,0.489,1,"18","Ifi27l2a"
"Fmr1",0.00256528110357256,0.296277126482143,0.471,0.245,1,"18","Fmr1"
"Armcx31",0.00299654136153541,0.297699282069989,0.265,0.107,1,"18","Armcx3"
"Ndrg15",0.003250862121437,0.269698142042579,0.794,0.561,1,"18","Ndrg1"
"Gm101166",0.003300602172222,0.338283417853189,0.765,0.522,1,"18","Gm10116"
"Vmp15",0.00330872869944062,0.401758674005822,0.676,0.445,1,"18","Vmp1"
"Rab101",0.00354024301062859,0.3613984526645,0.912,0.635,1,"18","Rab10"
"Vat12",0.00387703112992473,0.340251092290182,0.412,0.221,1,"18","Vat1"
"Opa3",0.00388269337677191,0.271638447190377,0.353,0.169,1,"18","Opa3"
"Cbx32",0.00392469377663072,0.276910201419591,0.618,0.371,1,"18","Cbx3"
"Crebbp",0.0040033425740001,0.278399127919109,0.618,0.381,1,"18","Crebbp"
"mt-Nd51",0.00412532881023913,0.306417352323973,0.882,0.614,1,"18","mt-Nd5"
"Atf42",0.00414269763933924,0.305274936830115,0.794,0.684,1,"18","Atf4"
"Foxp13",0.0046916208044994,0.267453798850739,0.765,0.441,1,"18","Foxp1"
"Scarb2",0.00487308085754775,0.323245610113046,0.441,0.247,1,"18","Scarb2"
"Scoc",0.0054185101502779,0.269081969582038,0.265,0.116,1,"18","Scoc"
"Kif5b",0.0055645745824072,0.263834359713678,0.882,0.651,1,"18","Kif5b"
"Plec2",0.00572091353176855,0.267050489024488,0.735,0.512,1,"18","Plec"
