"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Lat3",3.37545761843405e-09,0.281446870260479,0.746,0.68,9.45971997566143e-05,"10","Lat"
"Sertad1",3.53334672511066e-09,0.438017147619401,0.525,0.453,9.90220419712261e-05,"10","Sertad1"
"Eif3k",3.76956563398514e-09,0.328365446074993,0.75,0.739,0.000105642076892434,"10","Eif3k"
"Rpl13-ps32",4.61522246373444e-09,0.364884751646243,0.721,0.71,0.000129341609546158,"10","Rpl13-ps3"
"Gm42418",6.07418824384796e-09,0.530818256160153,0.943,0.944,0.000170229125533839,"10","Gm42418"
"Eif4a21",6.56690986019825e-09,0.369714544964989,0.672,0.625,0.000184037648832056,"10","Eif4a2"
"Gm26532",1.10307153379747e-08,0.512457662151018,0.344,0.235,0.000309135797346742,"10","Gm26532"
"Maf2",1.45252059799458e-08,0.404387109409297,0.484,0.372,0.000407068897587982,"10","Maf"
"Cd163l12",3.02673544552986e-08,0.482770910112233,0.307,0.188,0.000848242608609743,"10","Cd163l1"
"Irf2bpl2",3.44104503553e-08,0.428721377463006,0.471,0.373,0.000964352871207282,"10","Irf2bpl"
"Tsc22d21",3.70966321530428e-08,0.424971849222304,0.357,0.251,0.00103963311608902,"10","Tsc22d2"
"Itgb71",3.81257610890291e-08,0.307514605449049,0.652,0.626,0.00106847445452004,"10","Itgb7"
"Dusp5",4.69939520289875e-08,0.400194193316339,0.652,0.621,0.00131700550561237,"10","Dusp5"
"Atf4",5.21350977971231e-08,0.330921441867512,0.705,0.684,0.00146108611576438,"10","Atf4"
"mt-Atp81",7.3616684841928e-08,0.286518324068157,0.787,0.773,0.00206310759269503,"10","mt-Atp8"
"Egr11",7.72516860341816e-08,0.530556353362865,0.34,0.238,0.00216497850110794,"10","Egr1"
"Prdx61",1.07006630000485e-07,0.405978747510272,0.713,0.696,0.00299886080576359,"10","Prdx6"
"Tgif11",1.35357134508999e-07,0.553142957210546,0.553,0.528,0.00379338369461468,"10","Tgif1"
"Gata32",1.59896334894561e-07,0.376222181027508,0.422,0.303,0.00448109478542008,"10","Gata3"
"Zc3h12a1",1.89725033975523e-07,0.404861236047231,0.459,0.385,0.00531704407716402,"10","Zc3h12a"
"Stk17b1",2.32572341491919e-07,0.327064996984093,0.779,0.783,0.00651783987031103,"10","Stk17b"
"Brd2",2.56537700209922e-07,0.388565594294891,0.631,0.621,0.00718946904838307,"10","Brd2"
"Glud1",3.44978754801551e-07,0.364799062400664,0.635,0.656,0.00966802960331348,"10","Glud1"
"Plk31",3.86475993311262e-07,0.453865714361103,0.324,0.227,0.0108309897125481,"10","Plk3"
"Trp53i112",6.05658116465783e-07,0.324160053096544,0.266,0.169,0.0169735687139536,"10","Trp53i11"
"Fam110a2",7.04434495393415e-07,0.425246818144559,0.594,0.556,0.0197417767334005,"10","Fam110a"
"Tnfrsf253",7.24911818159294e-07,0.338746435023058,0.283,0.179,0.0203156537039142,"10","Tnfrsf25"
"Tmem176a1",1.01849943175943e-06,0.380835094104788,0.48,0.405,0.0285434465750581,"10","Tmem176a"
"Il7r4",2.53099890416408e-06,0.284101027453023,0.553,0.467,0.0709312442891983,"10","Il7r"
"Plp23",3.4808091293812e-06,0.317022500797113,0.561,0.53,0.0975496758509082,"10","Plp2"
"Ifi2031",4.84254148909117e-06,0.335098653864414,0.32,0.228,0.13571222523178,"10","Ifi203"
"Faah1",5.24904184725936e-06,0.316830784760958,0.295,0.203,0.147104397769444,"10","Faah"
"Map3k8",6.11987917804465e-06,0.42758048167063,0.324,0.246,0.171509613964701,"10","Map3k8"
"Snhg12",7.86661576968988e-06,0.332573862455185,0.254,0.17,0.220461906945559,"10","Snhg12"
"mt-Nd5",7.87768648550537e-06,0.33487421991784,0.623,0.614,0.220772163756288,"10","mt-Nd5"
"Clcn3",9.02630959307859e-06,0.318450578326508,0.447,0.371,0.252962326346027,"10","Clcn3"
"Ezr2",9.06442966480141e-06,0.459685035736441,0.57,0.557,0.25403064135606,"10","Ezr"
"Chka",1.03513215200523e-05,0.363865597351256,0.316,0.233,0.290095785599465,"10","Chka"
"Rnf166",1.0662374886421e-05,0.366818838455085,0.299,0.223,0.29881305619195,"10","Rnf166"
"Kcnn42",1.48094141576233e-05,0.317373804544256,0.332,0.248,0.415033831767392,"10","Kcnn4"
"Tra2b",2.29788627712765e-05,0.293091924609358,0.721,0.75,0.643982629165024,"10","Tra2b"
"Nr4a21",2.4199473162554e-05,0.429482272360685,0.57,0.57,0.678190235380576,"10","Nr4a2"
"Rac24",2.53373042138948e-05,0.25250007240088,0.668,0.646,0.710077950594401,"10","Rac2"
"Eif3i1",2.91755122802486e-05,0.267725635128288,0.57,0.555,0.817643731653966,"10","Eif3i"
"Icam11",2.98244834692083e-05,0.394420819786888,0.443,0.398,0.835831149224564,"10","Icam1"
"Skil2",3.11234157574682e-05,0.422082395356746,0.5,0.486,0.872233726603047,"10","Skil"
"Ddit43",3.42782880391268e-05,0.438817240255234,0.283,0.206,0.960649022296529,"10","Ddit4"
"Nfkbiz2",3.71336822916114e-05,0.367493915937037,0.492,0.451,1,"10","Nfkbiz"
"Gm8797",3.96561893386983e-05,0.378352516263921,0.299,0.228,1,"10","Gm8797"
"Siah21",4.53034222766853e-05,0.377125767575511,0.381,0.324,1,"10","Siah2"
